Nivel de dificultad,ITEM,a),b),c),d),Correcta,Retroalimentación,REF.,Artículo,Mundo,Peso
Fácil,La soberanía reside exclusivamente en:,Estado,Pueblo,Gobierno,Congreso,b,"La soberanía popular es un principio fundamental según el artículo 2 de la Constitución Dominicana, que establece que todos los poderes emanan del pueblo.",CD 2,Artículo 2.- Soberanía popular.,1,1
Fácil,El gobierno de la nación dominicana es:,Monárquico,Civil,Militar,Representativo,b,"El gobierno de la Nación es esencialmente civil, republicano, democrático y representativo según lo establece el artículo 4.",CD 4,Artículo 4.- Gobierno de la Nación y separación de poderes.,1,1
Fácil,El fundamento de la Constitución es:,Riqueza,Unidad,Intervención,Cultura,b,"La Constitución se fundamenta en el respeto a la dignidad humana y en la unidad indivisible de la Nación, según lo establece el artículo 5.",CD 5,Artículo 5.- Fundamento de la Constitución.,1,1
Fácil,La Constitución de la República Dominicana es:,Secundaria,Suprema,Administrativa,Ordinaria,b,"Todas las personas y órganos que ejercen potestades públicas están sujetos a la Constitución, que es la norma suprema y fundamento del ordenamiento jurídico del Estado.",CD 6,Artículo 6.- Supremacía de la Constitución.,1,1
Fácil,La función esencial del Estado es:,Control,Protección,Expansión,Turismo,b,El artículo 8 establece que es función esencial del Estado la protección efectiva de los derechos de la persona y el respeto de su dignidad en un marco de libertad individual y justicia social.,CD 8,Artículo 8.- Función esencial del Estado.,1,1
Intermedia,La ciudad de Santo Domingo de Guzmán es:,Provincia,Distrito,Municipio,Ciudad,b,"Santo Domingo de Guzmán es el Distrito Nacional, capital de la República y asiento del gobierno nacional según el artículo 13.",CD 13,Artículo 13.- Distrito Nacional.,2,2
Intermedia,La nacionalidad dominicana puede adquirirse por:,Nacimiento,Naturalización,Matrimonio,Ambas,d,"Según el artículo 18, la nacionalidad dominicana se adquiere por nacimiento o por naturalización.",CD 18,Artículo 18.- Nacionalidad.,2,2
Intermedia,El derecho a la vida es:,Inviolable,Disponible,Regulado,Secundario,a,El artículo 37 establece que el derecho a la vida es inviolable desde la concepción hasta la muerte.,CD 37,Artículo 37.- Derecho a la vida.,2,2
Intermedia,La libertad de expresión implica que:,Difusión,Censura,Manifestación,Honor,d,"La libertad de expresión comprende buscar y difundir información, pero no incluye el derecho a atentar contra el honor de las personas ni vulnerar el orden público o las buenas costumbres.",CD 49,Artículo 49.- Libertad de expresión e información.,2,2
Difícil,El territorio de la República Dominicana comprende:,Santo,Adyacentes,Caribe,Hispaniola,b,El territorio de la República Dominicana es inalienable y comprende la parte oriental de la isla de Santo Domingo y sus islas adyacentes.,CD 9,Artículo 9.- Territorio nacional.,3,3
